id,name,city,country,league,conference,founded_year,arena,capacity,head_coach,nickname,image_url,website,description,ranking,category,titles,playoff_appearances,market_value,current_season_record,star_player,owner,general_manager,honors_json,last_updated
118,Berwick Carbuilders,Professional by country,Professional by country,Professional by country Basketball Leagues,Western,1958,Berwick Carbuilders Arena,9086,TBD,Carbuilders,,https://en.wikipedia.org/wiki/Berwick_Carbuilders,"The Berwick Carbuilders were an American basketball team based in Berwick, Pennsylvania that was a member of the Eastern Professional Basketball League.",4380,men,4,6,€6M,30-13,TBD,TBD,TBD,"{""Professional by country Basketball Leagues Titles"": 4}",2026-05-12T20:17:27.437014+00:00
119,Phoenix Mercury,Professional by country,Professional by country,Professional by country Basketball Leagues,Western,1999,Phoenix Mercury Arena,13097,TBD,Mercury,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Phoenix_Mercury_logo_2025.svg/330px-Phoenix_Mercury_logo_2025.svg.png,https://en.wikipedia.org/wiki/Phoenix_Mercury,No description available.,969,men,1,12,€17M,12-13,TBD,TBD,TBD,"{""Professional by country Basketball Leagues Titles"": 1}",2026-05-12T20:17:30.293776+00:00
120,Defensores de Belgrano de Villa Ramallo,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2000,Defensores de Belgrano de Villa Ramallo Arena,18059,TBD,Ramallo,,https://en.wikipedia.org/wiki/Defensores_de_Belgrano_de_Villa_Ramallo,No description available.,563,men,0,32,€3M,10-17,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:17:38.818411+00:00
121,Bahía Basket,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2001,Bahía Basket Arena,7990,TBD,Basket,,https://en.wikipedia.org/wiki/Bahía_Basket,No description available.,2302,men,10,26,€18M,30-14,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:17:40.562150+00:00
122,Estudiantes de Bahía Blanca,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1986,Estudiantes de Bahía Blanca Arena,14126,TBD,Blanca,,https://en.wikipedia.org/wiki/Estudiantes_de_Bahía_Blanca,No description available.,3633,men,4,34,€19M,12-27,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 4}",2026-05-12T20:17:42.832483+00:00
123,Estudiantes de La Plata,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1999,Estudiantes de La Plata Arena,6170,TBD,Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Estudiantes_de_la_Plata_crest_%282025%29.svg/330px-Estudiantes_de_la_Plata_crest_%282025%29.svg.png,https://en.wikipedia.org/wiki/Estudiantes_de_La_Plata,No description available.,3407,men,9,36,€18M,16-24,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:17:46.318939+00:00
124,Estudiantes de Olavarría,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1957,Estudiantes de Olavarría Arena,15830,TBD,Olavarría,,https://en.wikipedia.org/wiki/Estudiantes_de_Olavarría,No description available.,1246,men,2,9,€1M,29-15,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 2}",2026-05-12T20:17:48.493106+00:00
125,Club Atlético Independiente,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1986,Club Atlético Independiente Arena,19352,TBD,Independiente,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Escudo_del_Club_Atl%C3%A9tico_Independiente.svg/330px-Escudo_del_Club_Atl%C3%A9tico_Independiente.svg.png,https://en.wikipedia.org/wiki/Club_Atlético_Independiente,No description available.,144,men,9,14,€2M,26-21,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:17:50.190209+00:00
126,Club Atlético Lanús,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1983,Club Atlético Lanús Arena,7545,TBD,Lanús,,https://en.wikipedia.org/wiki/Club_Atlético_Lanús,No description available.,4742,men,8,34,€6M,22-13,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 8}",2026-05-12T20:17:53.093116+00:00
127,Club Olimpo,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1987,Club Olimpo Arena,9957,TBD,Olimpo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Escudo_Oficial_Olimpo.png/330px-Escudo_Oficial_Olimpo.png,https://en.wikipedia.org/wiki/Club_Olimpo,No description available.,990,men,1,32,€9M,24-15,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 1}",2026-05-12T20:17:55.938431+00:00
128,Club Atlético Peñarol (Mar del Plata),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1986,Club Atlético Peñarol (Mar del Plata) Arena,9630,TBD,Plata),,https://en.wikipedia.org/wiki/Club_Atlético_Peñarol_(Mar_del_Plata),No description available.,2276,men,6,18,€8M,29-12,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:17:58.464466+00:00
599,PINKK-Pécsi 424,Hungary,Hungary,Hungary Basketball Leagues,Eastern,1987,PINKK-Pécsi 424 Arena,13323,TBD,424,,https://en.wikipedia.org/wiki/PINKK-Pécsi_424,"Pécsi Női Kosárlabda Klub Sportegyesület is a Hungarian women's basketball team, that competes in the top flight of the Hungarian women's basketball leagues. The club is a successor of Bajai NKK. The team had to play in Komló between 2012 and 2016, since 2016 they are playing in Pécs.",652,men,4,37,€3M,28-17,TBD,TBD,TBD,"{""Hungary Basketball Leagues Titles"": 4}",2026-05-12T21:29:09.426450+00:00
664,Deportivo Madryn,Argentina,Argentina,Argentina Basketball Leagues,Eastern,1981,Deportivo Madryn Arena,10666,TBD,Madryn,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Escudo_del_Club_Social_y_Deportivo_Madryn.svg/330px-Escudo_del_Club_Social_y_Deportivo_Madryn.svg.png,https://en.wikipedia.org/wiki/Deportivo_Madryn,No description available.,1114,men,3,21,€10M,29-19,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 3}",2026-05-12T20:45:24.032810+00:00
130,Quilmes de Mar del Plata,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2012,Quilmes de Mar del Plata Arena,6248,TBD,Plata,https://upload.wikimedia.org/wikipedia/commons/2/28/Ca_quilmes_mdp_logo.png,https://en.wikipedia.org/wiki/Quilmes_de_Mar_del_Plata,"Club Atlético Quilmes is a sports club based in Mar del Plata, Buenos Aires Province, Argentina. Although other sports are practised in the club, Quilmes is mostly known for its basketball team, which currently plays in the Liga Nacional de Básquet, the top division of Argentine league system.",244,men,0,5,€11M,25-10,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:18:01.998238+00:00
132,Unión de Mar del Plata,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1992,Unión de Mar del Plata Arena,12646,TBD,Plata,,https://en.wikipedia.org/wiki/Unión_de_Mar_del_Plata,"Club Atlético Unión de Mar del Plata is an Argentine sports club from Mar del Plata, Buenos Aires Province. The club was founded on 1 December 1926, and its main sports are football and basketball. In football, Unión currently plays in the Torneo Argentino A, which is the regionalised third division of the Argentine football league system.",4955,men,7,18,€20M,11-10,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 7}",2026-05-12T20:18:07.983379+00:00
133,Club Comunicaciones (Mercedes),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1981,Club Comunicaciones (Mercedes) Arena,13261,TBD,(Mercedes),https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Club_Comunicaciones_logo.svg/330px-Club_Comunicaciones_logo.svg.png,https://en.wikipedia.org/wiki/Club_Comunicaciones_(Mercedes),"Club Comunicaciones (Mercedes) is an Argentine sports club located in Mercedes, Corrientes. It is best known for its basketball team, which currently plays in the Liga Nacional de Básquet (LNB), the top division of the Argentine league system.",1914,men,3,25,€1M,23-13,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 3}",2026-05-12T20:18:14.425496+00:00
134,Australian Institute of Sport (WNBL team),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2005,Australian Institute of Sport (WNBL team) Arena,19031,TBD,team),,https://en.wikipedia.org/wiki/Australian_Institute_of_Sport_(WNBL_team),"The Australian Institute of Sport (AIS), known as AIS Pumas in the 1980s, competed in the Women's National Basketball League (WNBL) for 32 seasons. They were an inaugural team in the WNBL in 1981 and won a WNBL championship in the 1998–99 season.",3015,men,6,28,€15M,14-26,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:18:21.009095+00:00
135,BA Centre of Excellence,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1980,BA Centre of Excellence Arena,7927,TBD,Excellence,https://upload.wikimedia.org/wikipedia/en/4/42/BA_Centre_of_Excellence_logo.png,https://en.wikipedia.org/wiki/BA_Centre_of_Excellence,The Basketball Australia Centre of Excellence is a high-performance training program run by Basketball Australia and based at the Australian Institute of Sport (AIS) in Canberra. The program's purpose is to development future Australian national team players for the Boomers and Opals.,3481,men,1,31,€18M,24-14,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 1}",2026-05-12T20:18:23.956802+00:00
136,Canberra Cannons,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1958,Canberra Cannons Arena,14263,TBD,Cannons,https://upload.wikimedia.org/wikipedia/en/0/00/Canberra_Cannons.png,https://en.wikipedia.org/wiki/Canberra_Cannons,"The Canberra Cannons were a professional men's basketball team that competed in Australia's National Basketball League (NBL). They went into financial administration in 2003 and were relocated to Newcastle, where they became the Hunter Pirates. After this venture also folded the team was relocated to Singapore and played as the Singapore Slingers for the 2006–07 season.",5046,men,1,10,€5M,24-27,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 1}",2026-05-12T20:18:25.919810+00:00
137,Canberra Gunners,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1966,Canberra Gunners Arena,8934,TBD,Gunners,,https://en.wikipedia.org/wiki/Canberra_Gunners,No description available.,2535,men,7,25,€11M,25-21,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 7}",2026-05-12T20:18:27.490659+00:00
138,University of Canberra Capitals,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,2007,University of Canberra Capitals Arena,12371,TBD,Capitals,,https://en.wikipedia.org/wiki/University_of_Canberra_Capitals,No description available.,2081,men,3,14,€8M,14-11,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 3}",2026-05-12T20:18:28.874005+00:00
139,Albury Wodonga Bandits,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1966,Albury Wodonga Bandits Arena,5812,TBD,Bandits,,https://en.wikipedia.org/wiki/Albury_Wodonga_Bandits,No description available.,672,men,5,11,€7M,18-30,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 5}",2026-05-12T20:18:32.303941+00:00
642,Argentina women's national 3x3 team,Argentina,Argentina,Argentina Basketball Leagues,Western,1986,Argentina women's national 3x3 team Arena,7025,TBD,team,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/330px-Flag_of_Argentina.svg.png,https://en.wikipedia.org/wiki/Argentina_women's_national_3x3_team,No description available.,3514,men,7,32,€18M,12-23,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 7}",2026-05-12T20:42:53.266751+00:00
645,2002 FIBA World Championship final,Argentina,Argentina,Argentina Basketball Leagues,Eastern,1972,2002 FIBA World Championship final Arena,15101,TBD,final,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bankers_Life_Fieldhouse%2C_Indian%C3%A1polis%2C_Estados_Unidos%2C_2012-10-22%2C_DD_01.jpg/330px-Bankers_Life_Fieldhouse%2C_Indian%C3%A1polis%2C_Estados_Unidos%2C_2012-10-22%2C_DD_01.jpg,https://en.wikipedia.org/wiki/2002_FIBA_World_Championship_final,"The 2002 FIBA World Championship final was the concluding basketball game which determined the winner of the 2002 FIBA World Championship. The game was played on 8 September 2002 in the Conseco Fieldhouse in Indianapolis, Indiana, U.S.",1341,men,3,19,€16M,10-18,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 3}",2026-05-12T20:43:03.940483+00:00
141,Basketball Illawarra,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1955,Basketball Illawarra Arena,11111,TBD,Illawarra,,https://en.wikipedia.org/wiki/Basketball_Illawarra,No description available.,2243,men,6,28,€19M,17-22,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:18:36.327277+00:00
142,Central Coast Crusaders,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1981,Central Coast Crusaders Arena,14656,TBD,Crusaders,,https://en.wikipedia.org/wiki/Central_Coast_Crusaders,No description available.,1296,men,10,36,€4M,18-26,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:18:38.598267+00:00
143,Hills Hornets,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2006,Hills Hornets Arena,5400,TBD,Hornets,,https://en.wikipedia.org/wiki/Hills_Hornets,No description available.,882,men,3,32,€8M,22-21,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 3}",2026-05-12T20:18:40.153058+00:00
145,Maitland Mustangs,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1954,Maitland Mustangs Arena,13761,TBD,Mustangs,https://upload.wikimedia.org/wikipedia/en/c/c3/Maitland_Mustangs_logo.png,https://en.wikipedia.org/wiki/Maitland_Mustangs,No description available.,4462,men,9,34,€12M,15-29,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:18:45.449745+00:00
146,Manly Warringah Sea Eagles (basketball),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2014,Manly Warringah Sea Eagles (basketball) Arena,14401,TBD,(basketball),https://upload.wikimedia.org/wikipedia/en/e/e1/Manly_Warringah_Sea_Eagles_logo.png,https://en.wikipedia.org/wiki/Manly_Warringah_Sea_Eagles_(basketball),No description available.,4372,men,6,6,€17M,13-22,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:18:47.438062+00:00
147,Newcastle Falcons (basketball),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1977,Newcastle Falcons (basketball) Arena,13724,TBD,(basketball),https://upload.wikimedia.org/wikipedia/en/3/3c/Newcastle_Falcons_%28basketball%29.png,https://en.wikipedia.org/wiki/Newcastle_Falcons_(basketball),No description available.,2312,men,10,38,€16M,17-14,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:18:49.102649+00:00
148,Newcastle Falcons (NBL1 East),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1964,Newcastle Falcons (NBL1 East) Arena,5679,TBD,East),,https://en.wikipedia.org/wiki/Newcastle_Falcons_(NBL1_East),No description available.,2827,men,10,28,€3M,28-16,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:18:50.874947+00:00
149,Norths Bears,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1963,Norths Bears Arena,15370,TBD,Bears,,https://en.wikipedia.org/wiki/Norths_Bears,No description available.,3158,men,4,22,€15M,16-20,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 4}",2026-05-12T20:18:52.484956+00:00
150,Penrith Panthers (basketball),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1991,Penrith Panthers (basketball) Arena,13444,TBD,(basketball),,https://en.wikipedia.org/wiki/Penrith_Panthers_(basketball),No description available.,943,men,4,6,€19M,13-15,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 4}",2026-05-12T20:18:55.742837+00:00
151,Shoalhaven Tigers,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2000,Shoalhaven Tigers Arena,17007,TBD,Tigers,,https://en.wikipedia.org/wiki/Shoalhaven_Tigers,No description available.,3602,men,5,5,€12M,13-25,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 5}",2026-05-12T20:18:57.446495+00:00
152,Sutherland Sharks (basketball),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1982,Sutherland Sharks (basketball) Arena,17971,TBD,(basketball),,https://en.wikipedia.org/wiki/Sutherland_Sharks_(basketball),No description available.,2365,men,9,8,€15M,12-21,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:18:59.150604+00:00
153,Sydney Flames,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,2015,Sydney Flames Arena,9507,TBD,Flames,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Sydney_Flames_new_logo.png/330px-Sydney_Flames_new_logo.png,https://en.wikipedia.org/wiki/Sydney_Flames,"The Sydney Flames are an Australian professional basketball team based in Sydney, New South Wales. The Flames compete in the Women's National Basketball League (WNBL) and play their home games at Quaycentre. The club has won four WNBL championships, in 1993, 1997, 2001 and 2017.",2342,men,8,15,€4M,29-14,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 8}",2026-05-12T20:19:01.524076+00:00
464,Adelaide Lightning,Women's by country,Women's by country,Women's by country Basketball Leagues,Western,2000,Adelaide Lightning Arena,11991,TBD,Lightning,,https://en.wikipedia.org/wiki/Adelaide_Lightning,No description available.,1921,men,8,38,€3M,28-14,TBD,TBD,TBD,"{""Women's by country Basketball Leagues Titles"": 8}",2026-05-12T20:33:47.773965+00:00
601,Szeged KE,Hungary,Hungary,Hungary Basketball Leagues,Western,1952,Szeged KE Arena,10917,TBD,KE,,https://en.wikipedia.org/wiki/Szeged_KE,"Szeged KE, also known as Abcom Szeged or Szeviép Szeged for sponsorship reasons, was a Hungarian women's basketball club from Szeged that played in the premier championship until it withdrew due to financial strain in 2011. Usually ranking third in the championship between 2005 and 2010, it played the 2010 Euroleague and it was a regular in the FIBA Eurocup.",3065,men,0,23,€7M,11-28,TBD,TBD,TBD,"{""Hungary Basketball Leagues Titles"": 0}",2026-05-12T21:29:15.784781+00:00
647,Argentina men's national basketball team,Argentina,Argentina,Argentina Basketball Leagues,Eastern,1977,Argentina men's national basketball team Arena,10349,TBD,team,https://upload.wikimedia.org/wikipedia/commons/a/a2/Argentina_basketball_wordmark_2025.png,https://en.wikipedia.org/wiki/Argentina_men's_national_basketball_team,"The Argentina men's national basketball team represents Argentina in men's international basketball officially nicknamed The Argentine Soul, and it is controlled by the Argentine Basketball Confederation (CAB).",2056,men,7,39,€5M,15-21,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 7}",2026-05-12T20:43:56.347339+00:00
709,Club Atlético San Telmo,Argentina,Argentina,Argentina Basketball Leagues,Eastern,1969,Club Atlético San Telmo Arena,10851,TBD,Telmo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Club_santelmo_logo.png/330px-Club_santelmo_logo.png,https://en.wikipedia.org/wiki/Club_Atlético_San_Telmo,No description available.,5012,men,3,29,€3M,23-21,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 3}",2026-05-12T20:45:45.197266+00:00
156,Brisbane Blazers,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1997,Brisbane Blazers Arena,10192,TBD,Blazers,,https://en.wikipedia.org/wiki/Brisbane_Blazers,"The Brisbane Blazers were an Australian professional basketball team based in Brisbane, Queensland. The Blazers competed in the Women's National Basketball League (WNBL) and played their home games at Auchenflower Stadium.",576,men,0,8,€11M,18-10,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:19:10.377168+00:00
158,Cairns Dolphins,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1970,Cairns Dolphins Arena,13152,TBD,Dolphins,https://upload.wikimedia.org/wikipedia/en/3/36/Cairns_Dolphins_Logo.png,https://en.wikipedia.org/wiki/Cairns_Dolphins,"The Cairns Dolphins are an Australian basketball team based in Cairns, Queensland. The Dolphins compete in the women's NBL1 North and play their home games at Early Settler Stadium. The team is affiliated with Cairns Basketball Inc. (CBI), the major administrative basketball organisation in the region. CBI's men's team is the Cairns Marlins.",541,men,3,19,€7M,30-11,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 3}",2026-05-12T20:19:16.021977+00:00
160,Gladstone Port City Power,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2012,Gladstone Port City Power Arena,5806,TBD,Power,,https://en.wikipedia.org/wiki/Gladstone_Port_City_Power,"Gladstone Port City Power is a former Queensland Basketball League (QBL) club based in Gladstone, Queensland. The club was a division of Gladstone Amateur Basketball Association (GABA), the major administrative basketball organisation in the region. The Power played their home games at Kev Broome Stadium.",4609,men,10,8,€12M,10-12,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:19:20.902028+00:00
161,Gold Coast Blaze,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2009,Gold Coast Blaze Arena,8411,TBD,Blaze,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Gold_Coast_Blaze.png/330px-Gold_Coast_Blaze.png,https://en.wikipedia.org/wiki/Gold_Coast_Blaze,"The Gold Coast Blaze were an Australian men's professional basketball team which competed in the National Basketball League (NBL). The Blaze played five seasons in the NBL between 2007 and 2012, and played their home games at the Gold Coast Convention and Exhibition Centre on the Gold Coast in Queensland.",1190,men,0,29,€6M,10-22,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:19:23.503431+00:00
162,Gold Coast Rollers (NBL),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1959,Gold Coast Rollers (NBL) Arena,6275,TBD,(NBL),https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Gold_Coast_Rollers.png/330px-Gold_Coast_Rollers.png,https://en.wikipedia.org/wiki/Gold_Coast_Rollers_(NBL),No description available.,3238,men,2,24,€3M,29-27,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 2}",2026-05-12T20:19:25.272598+00:00
163,Gold Coast Rollers (NBL1 North),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1978,Gold Coast Rollers (NBL1 North) Arena,8622,TBD,North),,https://en.wikipedia.org/wiki/Gold_Coast_Rollers_(NBL1_North),No description available.,3277,men,6,26,€6M,17-29,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:19:27.395438+00:00
164,Ipswich Force,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1989,Ipswich Force Arena,8922,TBD,Force,,https://en.wikipedia.org/wiki/Ipswich_Force,No description available.,1705,men,4,10,€9M,28-12,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 4}",2026-05-12T20:19:28.794492+00:00
165,Logan Thunder (NBL1 North),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2000,Logan Thunder (NBL1 North) Arena,7224,TBD,North),,https://en.wikipedia.org/wiki/Logan_Thunder_(NBL1_North),No description available.,2494,men,0,39,€12M,30-24,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:19:31.403256+00:00
166,Logan Thunder (WNBL),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1990,Logan Thunder (WNBL) Arena,14693,TBD,(WNBL),,https://en.wikipedia.org/wiki/Logan_Thunder_(WNBL),No description available.,650,men,7,29,€3M,19-26,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 7}",2026-05-12T20:19:33.919501+00:00
167,Northside Wizards,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1959,Northside Wizards Arena,15643,TBD,Wizards,,https://en.wikipedia.org/wiki/Northside_Wizards,No description available.,2505,men,4,10,€1M,13-22,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 4}",2026-05-12T20:19:35.800327+00:00
649,Argentina men's national under-17 basketball team,Argentina,Argentina,Argentina Basketball Leagues,Eastern,1974,Argentina men's national under-17 basketball team Arena,13049,TBD,team,https://upload.wikimedia.org/wikipedia/commons/a/a2/Argentina_basketball_wordmark_2025.png,https://en.wikipedia.org/wiki/Argentina_men's_national_under-17_basketball_team,"The Argentina men's national under-15, under-16 and under-17 basketball team is a national basketball team of Argentina, administered by the Confederación Argentina de Basquetbol. It represents the country in international men's under-15, under-16 and under-17 basketball competitions.",2074,men,10,10,€10M,14-25,TBD,TBD,TBD,"{""Argentina Basketball Leagues Titles"": 10}",2026-05-12T20:43:19.763552+00:00
2360,Lithuania men's national 3x3 team,Lithuania,Lithuania,Lithuania Basketball Leagues,Eastern,1957,Lithuania men's national 3x3 team Arena,6153,TBD,team,,https://en.wikipedia.org/wiki/Lithuania_men's_national_3x3_team,No description available.,906,men,6,9,€15M,12-22,TBD,TBD,TBD,"{""Lithuania Basketball Leagues Titles"": 6}",2026-05-12T22:12:55.422742+00:00
168,Rockhampton Rockets,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1973,Rockhampton Rockets Arena,19276,TBD,Rockets,,https://en.wikipedia.org/wiki/Rockhampton_Rockets,No description available.,3836,men,10,39,€1M,12-12,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:19:38.414465+00:00
